Clear Sky Index,Deviation from mean number of Orders
0.866,18.795
0.991,38.554
0.865,49.157
0.967,49.880
0.807,40.964
0.707,40.964
0.624,40.723
0.600,40.964
0.611,44.819
0.527,44.819
0.461,45.060
0.490,34.699
0.489,33.012
0.462,39.759
0.410,39.277
0.438,31.807
0.388,31.325
0.377,30.120
0.331,30.361
0.336,35.904
0.363,39.036
0.325,41.687
0.204,17.108
0.166,24.578
0.273,20.000
0.315,18.554
0.348,19.277
0.373,24.578
0.400,18.554
0.434,23.614
0.468,20.241
0.495,18.554
0.489,23.855
0.480,24.337
0.554,18.072
0.581,14.940
0.609,11.807
0.620,10.120
0.615,23.373
0.645,20.482
0.667,28.675
0.694,21.205
0.697,20.964
0.761,13.735
0.813,7.711
0.857,11.566
0.866,8.916
0.930,12.289
0.957,8.675
0.967,10.120
0.993,28.434
0.996,25.060
0.993,20.000
0.993,17.831
0.988,13.735
0.996,10.361
0.994,7.711
0.994,6.265
0.982,4.819
0.991,1.205
0.991,-0.964
0.993,-3.373
0.993,-5.060
0.991,-8.434
0.972,-8.675
0.954,-7.711
0.935,-6.024
0.964,-6.024
0.978,-8.193
0.991,-31.084
0.842,-31.084
0.938,-21.446
0.961,-19.036
0.918,-16.627
0.903,-13.012
0.834,-9.398
0.838,-1.928
